game_pk,game_date,away,home,away_sp,home_sp,model_tag,B_home,B_away,P_awaySP,P_homeSP,d_lineup,d_sp,home_off_edge,away_off_edge,xw_net,xw_lean,xw_delta,ops_net,ops_lean,ops_delta,ops_valid,consensus,status,full_away,full_home,f5_away,f5_home,xw_full,xw_f5,ops_full,ops_f5,gamePk,espn_id,open_away_ml,open_home_ml,close_away_ml,close_home_ml,close_p_home
822884,2026-07-02,DET,TEX,Framber Valdez,Nathan Eovaldi,xw+plat_consol_v1,0.314,0.333,0.321,0.312,-0.019,0.009,-0.001,0.009,-0.01,DET,0.01,0.011,TEX,0.011,True,DIVERGE,graded,4.0,10.0,3.0,5.0,L,L,W,W,822884,401815997.0,109.0,-131.0,-110.0,-110.0,0.5
823119,2026-07-02,LAA,SEA,Walbert Ureña,Bryce Miller,xw+plat_consol_v1,0.337,0.307,0.283,0.237,0.03,0.0459999999999999,-0.018,-0.089,0.071,SEA,0.071,0.066,SEA,0.066,True,AGREE,graded,0.0,1.0,0.0,0.0,W,T,W,T,823119,401816000.0,169.0,-207.0,183.0,-225.0,0.6620743436443982
823442,2026-07-02,PIT,PHI,Jared Jones,Alan Rangel,xw+plat_consol_v1,0.32,0.33,0.338,0.27,-0.01,0.068,0.022,-0.038,0.06,PHI,0.06,0.025,PHI,0.025,False,,graded,6.0,1.0,1.0,1.0,L,T,,,823442,401815994.0,109.0,-131.0,113.0,-136.0,0.551057677674631
823765,2026-07-02,CIN,MIL,Chase Burns,Jacob Misiorowski,xw+plat_consol_v1,0.326,0.336,0.27,0.228,-0.01,0.042,-0.041,-0.077,0.036,MIL,0.036,0.205,MIL,0.205,True,AGREE,graded,7.0,2.0,5.0,1.0,L,L,L,L,823765,401815996.0,163.0,-199.0,178.0,-219.0,0.656183311418163
823935,2026-07-02,SD,LAD,Randy Vásquez,Roki Sasaki,xw+plat_consol_v1,0.36,0.319,0.397,0.331,0.0409999999999999,0.066,0.131,0.014,0.117,LAD,0.117,0.206,LAD,0.206,True,AGREE,graded,7.0,12.0,6.0,10.0,W,W,W,W,823935,401816001.0,162.0,-198.0,178.0,-219.0,0.656183311418163
824093,2026-07-02,TB,KC,Ian Seymour,Stephen Kolek,xw+plat_consol_v1,0.332,0.322,0.286,0.304,0.01,-0.018,-0.019,-0.01,-0.009,TB,0.009,-0.093,TB,0.093,True,AGREE,graded,5.0,2.0,5.0,1.0,W,W,W,W,824093,401815998.0,-126.0,104.0,-122.0,101.0,0.4751508925131629
824335,2026-07-02,MIA,COL,Ryan Gusto,Michael Lorenzen,xw+plat_consol_v1,0.311,0.323,0.347,0.359,-0.012,-0.012,0.021,0.047,-0.026,MIA,0.026,-0.132,MIA,0.132,False,,graded,4.0,14.0,4.0,5.0,L,L,,,824335,401815999.0,-126.0,104.0,-136.0,113.0,0.448942322325369
824416,2026-07-02,CWS,CLE,Davis Martin,Slade Cecconi,xw+plat_consol_v1,0.308,0.336,0.306,0.325,-0.028,-0.019,-0.022,0.025,-0.047,CWS,0.047,-0.131,CWS,0.131,True,AGREE,graded,5.0,6.0,3.0,2.0,L,W,L,W,824416,401815993.0,-120.0,100.0,-101.0,-120.0,0.5205006473888649
824906,2026-07-02,STL,ATL,Dustin May,Hurston Waldrep,xw+plat_consol_v1,0.331,0.344,0.301,0.373,-0.0129999999999999,-0.072,-0.005,0.085,-0.09,STL,0.09,-0.055,STL,0.055,False,,graded,11.0,5.0,3.0,5.0,W,L,,,824906,401815995.0,-105.0,-115.0,103.0,-124.0,0.5291347851677457
822714,2026-07-03,PIT,WSH,Mitch Keller,Foster Griffin,xw+plat_consol_v1,0.326,0.328,0.343,0.307,-0.002,0.036,0.034,-0.001,0.035,WSH,0.035,0.099,WSH,0.099,True,AGREE,graded,5.0,9.0,1.0,5.0,W,W,W,W,822714,401816006.0,109.0,-131.0,124.0,-150.0,0.5733788395904437
